0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
31, 26358, 4.9688, 4.0000, 0.0005, 0.0223, 8.9000, 0.3438, -695.1200, 2776.6451, 13.5000, 24.0000, 0.0002, 0.6400, 104.0000, 0.7979, 0.1558, 19.0000, 0.0685, 8.9483, 1.6562, 7.5625, 6.0000, 42.3563, 10.0400, 13.3138, 18.3500, 96.1538, 9.0000, 0.0205, 0.7500
32, 26945, 4.9394, 4.0000, 0.0006, 0.0294, 6.9000, 0.3586, -719.8700, 2238.6997, 7.5000, 24.7500, 0.0002, 0.4806, 106.5133, 0.7353, 0.1682, 48.0000, 0.0469, 10.0394, 1.4596, 7.9848, 7.2000, 58.2319, 7.8500, 11.2857, 13.9404, 93.8850, 10.0000, 0.0653, 0.6311
33, 28036, 4.3238, 4.0000, 0.0006, 0.0134, 6.7000, 0.4857, -1023.4800, 2577.5780, 19.0000, 35.0000, 0.0003, 0.5833, 185.1852, 0.8080, 0.1686, 28.0000, 0.0334, 9.2821, 1.5333, 6.2857, 3.1000, 41.5900, 9.4700, 16.1533, 19.7143, 54.0000, 6.0000, 0.0100, 0.6944
34, 28638, 4.8462, 4.0000, 0.0029, 0.0171, 6.5000, 0.3654, -757.2100, 2173.1840, 14.0000, 26.0000, 0.0007, 0.6852, 68.5871, 0.7945, 0.1678, 11.0000, 0.0582, 7.9452, 1.5000, 7.6154, 7.2000, 53.5450, 10.1900, 12.2500, 14.2462, 145.8000, 3.0000, 0.0205, 0.8333
35, 28933, 4.6547, 4.0000, 0.0007, 0.0211, 6.9000, 0.3597, -575.0400, 2493.2079, 11.0000, 19.8571, 0.0003, 0.5000, 126.6654, 0.7761, 0.1679, 24.0000, 0.0585, 9.7480, 1.6403, 7.7266, 7.4000, 47.9117, 8.1900, 11.5097, 15.1371, 78.9481, 9.0000, 0.0348, 0.6507
36, 29740, 4.5191, 4.0000, 0.0006, 0.0239, 8.2000, 0.3443, -662.7500, 2304.1958, 11.0000, 22.8750, 0.0002, 0.4869, 110.7426, 0.7853, 0.1606, 34.0000, 0.0560, 10.0272, 1.6557, 7.8525, 5.1000, 43.5415, 8.9900, 12.8690, 15.9260, 90.2995, 9.0000, 0.0303, 0.6283
37, 30833, 4.8232, 4.0000, 0.0004, 0.0205, 6.4000, 0.3343, -702.1700, 2046.0074, 13.0000, 24.1333, 0.0001, 0.3687, 119.6097, 0.7882, 0.1713, 56.0000, 0.0430, 10.9239, 1.5414, 7.5635, 5.7000, 51.9341, 7.9300, 12.0110, 13.9627, 83.6053, 11.0000, 0.0200, 0.5225
38, 32838, 4.8372, 4.0000, 0.0011, 0.0193, 7.4000, 0.3198, -713.9400, 1684.6346, 13.0000, 24.5714, 0.0003, 0.4302, 89.8848, 0.7872, 0.1650, 32.0000, 0.0886, 10.0499, 1.5581, 8.2267, 6.2000, 50.0764, 8.0300, 12.3789, 15.6425, 111.2535, 3.0000, 0.0285, 0.6201
39, 33823, 4.8235, 4.0000, 0.0004, 0.0247, 7.8000, 0.3361, -455.7600, 2055.7990, 6.0000, 15.8667, 0.0001, 0.4348, 116.5461, 0.7914, 0.1628, 36.0000, 0.0414, 10.4660, 1.6387, 7.5504, 5.2000, 52.1001, 8.2300, 9.9341, 12.9013, 85.8029, 18.0000, 0.0211, 0.5771
40, 35202, 4.4905, 4.0000, 0.0006, 0.0246, 7.8000, 0.4190, -551.2800, 1812.0753, 14.5000, 19.0909, 0.0002, 0.4434, 115.8862, 0.7811, 0.1631, 52.0000, 0.0516, 10.2863, 1.5762, 7.6476, 5.6000, 54.1120, 8.8700, 10.4545, 13.1602, 86.2915, 10.0000, 0.0311, 0.5973
