round_epochs,acc,loss,val_acc,val_loss,optimizer,dropout,losses,batch_size,epochs,activation
10,0.6008449580581772,0.2345172154359491,0.613640850655501,0.23104771825422696,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
20,0.6098014424508968,0.6595588476787804,0.6183717795408104,0.6587423644497294,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function relu at 0x7f8d2461b758>
20,0.6073510778771204,0.2339168499429668,0.6290163600935919,0.23059319899957748,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function elu at 0x7f8d2461b578>
20,0.6155471061673102,0.231614856671874,0.6317760705971375,0.22901279432708263,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function relu at 0x7f8d2461b758>
10,0.6010139475001732,0.23661971798565604,0.6057559702256811,0.23457773363780582,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function elu at 0x7f8d2461b578>
20,0.5956062533505919,0.6781123361609684,0.6144293322968291,0.6734418235726547,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function elu at 0x7f8d2461b578>
20,0.613350239241229,0.6709932099428165,0.6217228527748676,0.6711291840342922,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function elu at 0x7f8d2461b578>
10,0.5983945994020566,0.23693078592023015,0.6171890476763706,0.23331900156862562,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
20,0.606590622001224,0.6710851824782194,0.6242854320483637,0.6727344432855625,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function elu at 0x7f8d2461b578>
10,0.5712716520512512,0.6883564933624557,0.5958998627782972,0.6781372423828083,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function elu at 0x7f8d2461b578>
10,0.5955217579622837,0.2372928582128715,0.6183717724324307,0.23366898180182202,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function relu at 0x7f8d2461b758>
20,0.6095479579101799,0.23460138860159802,0.6236940730189092,0.23030755487791113,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function relu at 0x7f8d2461b758>
20,0.6119138213920352,0.11136104768031148,0.629607730931181,0.10918219186616747,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,30,20,<function relu at 0x7f8d2461b758>
20,0.6205323193714898,0.1099745445850533,0.6343386560978092,0.10863379511828726,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,20,20,<function elu at 0x7f8d2461b578>
10,0.6109843685700513,0.11125398766568909,0.6205401142132768,0.10949000972346068,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,20,10,<function relu at 0x7f8d2461b758>
10,0.5875792145023983,0.11509296077059249,0.6120638677278685,0.11415269273273954,adam,0.4,<function logcosh at 0x7f8d246725f0>,20,10,<function elu at 0x7f8d2461b578>
10,0.5904520501252414,0.2388865086389686,0.6057559641571222,0.2367696950133914,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function elu at 0x7f8d2461b578>
10,0.5961977262309598,0.11313028891390267,0.6085156793780471,0.11317281656755913,adam,0.2,<function logcosh at 0x7f8d246725f0>,30,10,<function elu at 0x7f8d2461b578>
10,0.594000851813378,0.113455846027503,0.620540122849077,0.11130203502742868,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,30,10,<function elu at 0x7f8d2461b578>
10,0.5705111965530776,0.6882789084868034,0.608909915736881,0.6778892447157487,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function elu at 0x7f8d2461b578>
20,0.6063371363399298,0.11176078913266718,0.6197516272259773,0.10994971193859335,adam,0.5,<function logcosh at 0x7f8d246725f0>,20,20,<function relu at 0x7f8d2461b758>
10,0.6102239182844512,0.11109015190707111,0.6183717791883288,0.11029997713850631,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,30,10,<function relu at 0x7f8d2461b758>
10,0.5883396775550263,0.6737118423060622,0.6085156777742556,0.6638883996968576,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function relu at 0x7f8d2461b758>
20,0.608449515180342,0.11190371242098834,0.6242854335757841,0.11021839746375209,adam,0.5,<function logcosh at 0x7f8d246725f0>,20,20,<function elu at 0x7f8d2461b578>
20,0.6110688695738373,0.11162863439480161,0.6236940731951501,0.11114478081746752,adam,0.4,<function logcosh at 0x7f8d246725f0>,30,20,<function elu at 0x7f8d2461b578>
20,0.6066751236093664,0.6793010138135748,0.6258624145647678,0.6786680548308095,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function elu at 0x7f8d2461b578>
10,0.5950147863123354,0.11423964573390684,0.6158091861093018,0.11133013533495503,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,20,10,<function elu at 0x7f8d2461b578>
10,0.5825095132880942,0.11585378528812237,0.6185689001376639,0.11457532475080665,adam,0.5,<function logcosh at 0x7f8d246725f0>,30,10,<function elu at 0x7f8d2461b578>
10,0.6017744000898819,0.11158006987367243,0.6199487494089982,0.11003953649075149,adam,0.2,<function logcosh at 0x7f8d246725f0>,20,10,<function relu at 0x7f8d2461b758>
10,0.592817919184802,0.23791941371480774,0.6063473348360947,0.23459726929805605,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
10,0.5953527672863933,0.2376938654895971,0.6083185490292016,0.23327205744739962,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function relu at 0x7f8d2461b758>
10,0.5963667097930723,0.11338446190148706,0.6120638676279987,0.11141789477944915,adam,0.4,<function logcosh at 0x7f8d246725f0>,20,10,<function relu at 0x7f8d2461b758>
